trajectory,iteration,sample_count,valid_sample_count,valid_fraction,solid_volume_fraction,solid_volume_fraction_std,solid_volume_fraction_count,largest_component_fraction,largest_component_fraction_std,largest_component_fraction_count,nrmse_s2,nrmse_s2_std,nrmse_s2_count,nrmse_lineal_path,nrmse_lineal_path_std,nrmse_lineal_path_count,mean_strut_thickness,mean_strut_thickness_std,mean_strut_thickness_count,p10_strut_thickness,p10_strut_thickness_std,p10_strut_thickness_count,median_pore_diameter,median_pore_diameter_std,median_pore_diameter_count,report
I0F0 Run_1 baseline,0,20,20,1.0,0.39373245239257815,0.008680785680657704,20,0.9961927620649389,0.005359083612706681,20,0.04653232295650035,0.015936463769841067,20,0.04106161882421479,0.02077332989409053,20,6.760496487596955,0.3543448247865676,20,4.638259220648202,0.5353049617479068,20,17.707087824531865,1.128548751747487,20,experiments\Pilot_v1.1\I0F0\Run_1\results\finite_domain\metrics_report.json
I0F1,0,20,0,0.0,0.6048774719238281,0.008646384272600184,20,0.048458753963793684,0.011306125544222993,20,1.2201481552164517,0.07663793864552662,20,0.9581603072605043,0.06415641439393951,20,12.137747444530756,0.4353655033126682,20,3.7656854249492375,0.46862915010152384,20,nan,nan,0,experiments\Pilot_v1.1\I0F1\Run_1\results_0\finite_domain\metrics_report.json
I0F1,1,20,20,1.0,0.39584884643554685,0.0027807160818359013,20,0.9997974580315011,0.0005892127348003212,20,0.0863808872028335,0.018298467739778033,20,0.07718727911077644,0.018343489047286284,20,6.923197192139519,0.1519823279392734,20,4.0,0.0,20,16.035682215322108,1.4667184441671788,20,experiments\Pilot_v1.1\I0F1\Run_1\results_1\finite_domain\metrics_report.json
I0F1,2,20,20,1.0,0.39470596313476564,7.5911517113237005e-06,20,0.999574748271165,0.0008053763194019553,20,0.06689605821516195,0.01678040749531008,20,0.07219957551183111,0.018064967086122822,20,6.992781990218221,0.16736717472360915,20,4.330495168499705,0.21635987520958377,20,16.787064806231673,1.3338384757691053,20,experiments\Pilot_v1.1\I0F1\Run_1\results_2\finite_domain\metrics_report.json
I0F1,3,20,20,1.0,0.3946990966796875,0.0,20,0.9923841187613563,2.220446049250313e-16,20,0.026057790049383307,0.006269263954418184,20,0.04502737048371018,0.008642937912183523,20,6.565074337087209,0.10892579471232801,20,4.118033988749895,0.20444086553483123,20,16.832066269040407,0.6824622358712278,20,experiments\Pilot_v1.1\I0F1\Run_1\results_3\finite_domain\metrics_report.json
I1F1,0,20,20,1.0,0.4120002746582031,0.007850536905449476,20,1.0,0.0,20,0.08680642643787326,0.03417954525385182,20,0.07265709984503152,0.005434884817670161,20,6.206877225453419,0.03611380824100108,20,4.472135954999578,1.7763568394002505e-15,20,16.14533215224279,0.6434321918574486,20,experiments\Pilot_v1.1\I1F1\Run_1\results_0\finite_domain\metrics_report.json
I1F1,1,20,20,1.0,0.396978759765625,0.004977615792182831,20,1.0,0.0,20,0.042678515093955,0.011743892523403134,20,0.054996626965364226,0.01601046040544702,20,5.884306419357584,0.0971677137543725,20,4.0,0.0,20,16.53507362460881,0.6919418899712909,20,experiments\Pilot_v1.1\I1F1\Run_1\results_1\finite_domain\metrics_report.json
I1F1,2,20,20,1.0,0.3937858581542969,0.0010973209920360828,20,1.0,0.0,20,0.055728898220624434,0.009168361646527515,20,0.05535736357238785,0.017204377434996757,20,6.522985135707709,0.12141373209054092,20,4.0,0.0,20,16.543615521850363,0.693382134513592,20,experiments\Pilot_v1.1\I1F1\Run_1\results_2\finite_domain\metrics_report.json
I1F1,3,20,20,1.0,0.39452056884765624,0.0006339489745376838,20,1.0,0.0,20,0.046657819311443444,0.011735229823965727,20,0.026747536463831562,0.007009873072920949,20,6.600097434509584,0.1229067151335639,20,4.0,0.0,20,16.599098167340834,0.9270644741503044,20,experiments\Pilot_v1.1\I1F1\Run_1\results_3\finite_domain\metrics_report.json
I2F1,0,20,20,1.0,0.3946990966796875,0.0,20,0.9923841187613563,2.220446049250313e-16,20,0.058796322134925305,0.010477570292308842,20,0.03419076772863063,0.010894927722674919,20,6.474517624396721,0.09776821971028066,20,4.0590169943749475,0.14695113090863232,20,16.73609610953167,0.5408300704273908,20,experiments\Pilot_v1.1\I2F1\Run_1\results_0\finite_domain\metrics_report.json
I2F1,1,20,20,1.0,0.3946990966796875,0.0,20,0.9923841187613563,2.220446049250313e-16,20,0.06053378693185659,0.014361640748666986,20,0.03766512645557171,0.00894693765810389,20,6.389974864128755,0.07205808843984696,20,4.0,0.0,20,16.8172849585014,0.7594178873608477,20,experiments\Pilot_v1.1\I2F1\Run_1\results_1\finite_domain\metrics_report.json
I2F1,2,20,20,1.0,0.3946990966796875,0.0,20,0.9923841187613563,2.220446049250313e-16,20,0.05444841704376896,0.010813043546289819,20,0.021465872208625413,0.006324918485273941,20,6.557034679265982,0.077257727452865,20,4.0,0.0,20,16.597116061317884,0.4773655871670595,20,experiments\Pilot_v1.1\I2F1\Run_1\results_2\finite_domain\metrics_report.json
I2F1,3,20,20,1.0,0.3946990966796875,0.0,20,0.9923841187613563,2.220446049250313e-16,20,0.04794066926952052,0.007744600950047141,20,0.015953991350803002,0.003568520270392834,20,6.540548330585968,0.08903088643174699,20,4.0,0.0,20,16.51701104821283,0.4261071153164177,20,experiments\Pilot_v1.1\I2F1\Run_1\results_3\finite_domain\metrics_report.json
